date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:54	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202020%2012:03:54%20GMT	http://dark.paul-themes.com/robots.txt		(from )
17:33:57	40460/40460	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2012:03:55%20GMT	http://dark.paul-themes.com/wp/bauhaus/full-page/	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/full-page/index.html	(from )
17:33:57	650/650	---MCZ	200	added ('OK')	text/css	etag:W/%225947cdbc-2b5%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.2.5	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/plugins/gtranslate/gtranslate-style246619.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:33:58	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Feb%202020%2012:03:58%20GMT	http://fonts.googleapis.com/	/Users/apple/websites/cg/fonts.googleapis.com/index.html	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:33:58	1235/1235	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2012:03:58%20GMT	http://dark.paul-themes.com/	/Users/apple/websites/cg/dark.paul-themes.com/index.html	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:33:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202020%2012:03:58%20GMT	http://s.w.org/	/Users/apple/websites/cg/s.w.org/index.html	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:33:58	224/224	---M--	302	error ('Found')	text/html	date:Fri,%2007%20Feb%202020%2012:03:58%20GMT	http://maps.google.com/	/Users/apple/websites/cg/maps.google.com/index.html	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:33:59	29295/29295	---MCZ	200	added ('OK')	text/css	etag:W/%225ce6226f-726f%22	http://dark.paul-themes.com/wp/bauhaus/wp-includes/css/dist/block-library/style.min.css?ver=5.2.5	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-includes/css/dist/block-library/style.min6619.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:00	1495/1495	---MCZ	200	added ('OK')	text/css	etag:W/%225ce6226f-5d7%22	http://dark.paul-themes.com/wp/bauhaus/wp-includes/css/dist/block-library/theme.min.css?ver=5.2.5	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-includes/css/dist/block-library/theme.min6619.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:01	7363/7363	---MC-	200	added ('OK')	application/rss+xml	etag:%2228f79d3331e5ab4511565bd810aa22e5%22	http://dark.paul-themes.com/wp/bauhaus/comments/feed/	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/comments/feed/index.html	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
17:34:02	1341/1341	---MCZ	200	added ('OK')	text/css	etag:W/%225947cd86-646%22	http://dark.paul-themes.com/wp/bauhaus/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.8	/Users/apple/websites/cg/dark.paul-themes.com/wp/bauhaus/wp-content/plugins/contact-form-7/includes/css/stylesef15.css	(from http://dark.paul-themes.com/wp/bauhaus/full-page/)
